SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,,change
CYIENT, EQ, 01-Oct-2021,1062.75,1061,1079,1035,1054,1062.7,1051.07,365425,3840.87,20469,201251,55.07,,-0.05
DAAWAT, EQ, 01-Oct-2021,72.05,71.95,73.35,71.5,71.6,71.85,72.24,1574151,1137.16,9953,548750,34.86,,-0.2
DABUR, EQ, 01-Oct-2021,617.05,617,620.2,609,618.65,617.95,613.95,1563570,9599.6,62578,992649,63.49,,0.9
DALBHARAT, EQ, 01-Oct-2021,2105.75,2099,2167,2095.05,2122,2115.5,2129.66,357422,7611.86,37328,197991,55.39,,9.75
DALMIASUG, EQ, 01-Oct-2021,412.45,411.4,463.7,407.2,459,444.3,440.31,580869,2557.63,12350,189497,32.62,,31.85
DAMODARIND, BE, 01-Oct-2021,46.85,48.5,49.15,44.6,48.8,47.95,47.57,20850,9.92,111, -, -,,1.1
DANGEE, EQ, 01-Oct-2021,191,195,195,188.15,191,190.7,190.15,4158,7.91,91,2326,55.94,,-0.3
DATAMATICS, EQ, 01-Oct-2021,302.7,301.9,305,298.55,301.3,300.85,300.94,111225,334.72,3119,57253,51.47,,-1.85
DBCORP, EQ, 01-Oct-2021,97.85,97.8,98.5,96.55,96.8,96.8,97.23,99400,96.64,2349,49113,49.41,,-1.05
DBL, EQ, 01-Oct-2021,568.4,560,589.8,557.6,577,577.45,579.42,1045013,6054.98,29605,392277,37.54,,9.05
DBREALTY, EQ, 01-Oct-2021,27.35,28,28.4,27.5,27.95,27.8,27.97,580102,162.23,2127,388796,67.02,,0.45
DBSTOCKBRO, BE, 01-Oct-2021,17,17.8,17.8,16.75,17.7,17.7,17.48,4597,0.8,35, -, -,,0.7
DCAL, EQ, 01-Oct-2021,200,198.25,212.45,198,211,211.25,207.91,2654747,5519.47,28334,732586,27.6,,11.25
DCBBANK, EQ, 01-Oct-2021,91,90.8,92,89.8,89.95,89.95,90.57,1381374,1251.06,9038,796343,57.65,,-1.05
DCI, SM, 01-Oct-2021,66.25,66.5,66.5,66.5,66.5,66.5,66.5,3000,2,1,3000,100,,0.25
DCM, BE, 01-Oct-2021,55.7,58.3,58.3,52.95,54.5,54.7,54.85,101285,55.56,340, -, -,,-1
DCMNVL, EQ, 01-Oct-2021,212.35,212,222.95,212,222.95,222.95,221.67,114139,253.02,1371,89092,78.06,,10.6
DCMSHRIRAM, EQ, 01-Oct-2021,1010.9,1008,1030,1001.85,1029.95,1024.05,1018,75253,766.08,5008,41445,55.07,,13.15
DCW, EQ, 01-Oct-2021,47.7,47.4,50.8,46.8,49,48.95,49.35,15980915,7887.14,37361,4546813,28.45,,1.25
DECCANCE, EQ, 01-Oct-2021,711.25,715,730.9,705,727,726.3,721.31,51551,371.84,4838,26015,50.46,,15.05
DEEPAKFERT, EQ, 01-Oct-2021,407.35,407.4,422,401.35,416.4,415.65,413.48,557118,2303.57,9364,213312,38.29,,8.3
DEEPAKNTR, EQ, 01-Oct-2021,2406.55,2399,2405,2356,2383.05,2382.45,2383.43,683465,16289.9,47256,209956,30.72,,-24.1
DEEPENR, BE, 01-Oct-2021,45.65,45.65,46,44.65,45.5,45.2,45.34,19272,8.74,97, -, -,,-0.45
DEEPINDS, EQ, 01-Oct-2021,152.05,150.25,154.1,147.8,150,149.65,150.53,52992,79.77,3617,22670,42.78,,-2.4
DELPHIFX, EQ, 01-Oct-2021,656.8,677,677,636.1,645,651.6,657.86,2959,19.47,253,2052,69.35,,-5.2
DELTACORP, EQ, 01-Oct-2021,263.3,260.1,288.5,260.1,280.2,281.3,280.26,49705903,139304.36,344108,9038703,18.18,,18
DELTAMAGNT, EQ, 01-Oct-2021,51.95,53.35,53.45,51.1,52.6,52.5,52.44,4655,2.44,253,2859,61.42,,0.55
DEN, EQ, 01-Oct-2021,48,47.65,49.5,47.55,48.4,48.45,48.74,3179586,1549.79,10161,1109637,34.9,,0.45
DENORA, EQ, 01-Oct-2021,321,323.3,329.5,318,320.05,321.3,321.7,10963,35.27,748,6565,59.88,,0.3
DEVIT, SM, 01-Oct-2021,133,130,133,130,132,132,131.6,7500,9.87,5,7500,100,,-1
DEVYANI, EQ, 01-Oct-2021,115.8,115.5,116.9,115.45,115.85,115.8,115.97,1641048,1903.12,23442,938904,57.21,,0
DFMFOODS, EQ, 01-Oct-2021,358.6,358.7,359.6,348.05,349.95,349.6,352.64,40993,144.56,2481,25376,61.9,,-9
DGCONTENT, BE, 01-Oct-2021,12.1,12.5,12.5,11.65,12.05,12.3,12.39,8275,1.02,56, -, -,,0.2
DHAMPURSUG, EQ, 01-Oct-2021,293.45,294,305.55,292,305.5,303.75,300.33,618080,1856.27,10955,285990,46.27,,10.3
DHANBANK, EQ, 01-Oct-2021,16.15,16,16.2,15.95,16.15,16.1,16.08,451938,72.69,1233,201298,44.54,,-0.05
DHANI, EQ, 01-Oct-2021,183.3,183.15,184,180.5,181,180.65,181.19,852008,1543.78,17530,535818,62.89,,-2.65
DHANILOANS, N3, 01-Oct-2021,1008,1005,1007,1000.01,1007,1007,1003.2,20,0.2,4,18,90,,-1
DHANILOANS, N5, 01-Oct-2021,1294.82,1269.2,1296.65,1269.2,1296,1296,1295.76,1040,13.48,7,1030,99.04,,1.18
DHANILOANS, N8, 01-Oct-2021,1243.22,1215.2,1217,1215.2,1216.2,1216.2,1216.38,34,0.41,5,34,100,,-27.02
DHANILOANS, ND, 01-Oct-2021,1013,1012.8,1012.8,1012.8,1012.8,1012.8,1012.8,10,0.1,1,10,100,,-0.2
DHANIPP, E1, 01-Oct-2021,74.55,76.05,76.05,73.5,74.1,74.45,74.35,52020,38.68,570,25402,48.83,,-0.1
DHANUKA, EQ, 01-Oct-2021,816.9,816.9,824.35,809.15,813,813.15,816.22,88884,725.49,5123,65637,73.85,,-3.75
DHARSUGAR, BE, 01-Oct-2021,18.3,19,19,17.9,18.4,18.7,18.47,33405,6.17,220, -, -,,0.4
DHUNINV, EQ, 01-Oct-2021,621.85,604.55,624.5,604.55,624.5,621.55,618.02,651,4.02,96,431,66.21,,-0.3
DIAMONDYD, EQ, 01-Oct-2021,674.55,665.1,675.95,662,665.4,664.65,668.04,14361,95.94,1142,7968,55.48,,-9.9
DICIND, EQ, 01-Oct-2021,467.15,463.15,468,455,455.25,457.95,462.59,5529,25.58,272,2882,52.13,,-9.2
DIGISPICE, BE, 01-Oct-2021,45.95,45.5,46,43.7,45,44.6,45.1,98290,44.32,283, -, -,,-1.35
DISHTV, EQ, 01-Oct-2021,20.5,20.45,20.95,20.1,20.2,20.2,20.4,10455500,2133.18,17210,4701968,44.97,,-0.3
DIVISLAB, EQ, 01-Oct-2021,4798.7,4800,4874,4780,4830,4832.3,4829.83,362529,17509.54,37154,149902,41.35,,33.6
DIXON, EQ, 01-Oct-2021,4611.9,4579.75,4900,4545.6,4899.95,4844.6,4783.16,1281816,61311.29,133133,313299,24.44,,232.7
DLF, EQ, 01-Oct-2021,417.2,419,422.85,411.15,416.3,417.2,416.39,11265711,46909.5,103396,1297198,11.51,,0
DLINKINDIA, EQ, 01-Oct-2021,154.95,154.5,157.55,150.85,154.1,155.05,153.76,320283,492.47,6658,119037,37.17,,0.1
DMART, EQ, 01-Oct-2021,4250.2,4250,4284.2,4220.1,4242,4235.6,4241.88,203932,8650.55,38056,137966,67.65,,-14.6
DNAMEDIA, BE, 01-Oct-2021,2.2,2.3,2.3,2.1,2.25,2.25,2.18,43546,0.95,74, -, -,,0.05
DODLA, EQ, 01-Oct-2021,601.4,599.5,602.95,590,595,593.75,595.17,67167,399.76,4073,29645,44.14,,-7.65
DOLAT, EQ, 01-Oct-2021,88,88,92,87.7,90.25,90.35,89.53,278214,249.08,4122,142604,51.26,,2.35
